Bib,ID,14.4k,25.8k,32.3k,37.9k,Chip Time,Finish Time
40033,00235,1:10:10,0:55:06,0:31:00,0:27:39,3:25:52,3:25:52
40418,00236,1:09:41,0:54:59,0:31:00,0:26:51,3:25:56,3:25:56
40259,00237,1:01:07,0:53:01,0:35:21,0:32:15,3:26:05,3:26:05
41088,00238,1:03:11,0:55:14,0:33:55,0:29:55,3:26:09,3:26:09
40067,00239,1:10:25,0:55:43,0:31:42,0:27:14,3:26:12,3:26:12
40172,00240,1:10:04,0:55:41,0:31:22,0:27:09,3:26:15,3:26:15
40168,00241,1:03:19,0:52:57,0:34:45,0:30:11,3:26:20,3:26:20
43016,00242,1:10:48,0:56:29,0:31:24,0:26:42,3:26:20,3:26:20
40113,00243,1:13:20,0:56:08,0:30:23,0:25:49,3:26:22,3:26:22
40205,00244,1:09:36,0:55:17,0:31:36,0:27:52,3:26:26,3:26:26
40594,00245,1:09:08,0:55:12,0:31:09,0:27:29,3:26:28,3:26:28
41135,00246,1:07:26,0:53:43,0:30:13,0:27:30,3:26:34,3:26:34
40620,00247,1:09:34,0:55:59,0:31:42,0:27:14,3:26:35,3:26:35
40368,00248,1:08:07,0:55:33,0:32:07,0:27:47,3:26:42,3:26:42
40886,00249,0:59:54,0:48:59,0:34:43,0:35:00,3:26:44,3:26:44
40492,00250,1:10:40,0:53:48,0:30:13,0:28:09,3:26:47,3:26:47
40942,00251,1:11:13,0:56:19,0:31:25,0:26:21,3:26:47,3:26:47
40462,00252,1:06:20,0:54:03,0:34:15,0:29:01,3:26:48,3:26:48
40048,00253,1:11:29,0:56:07,0:31:24,0:26:22,3:26:52,3:26:52
40282,00254,1:03:54,0:52:20,0:29:32,0:30:24,3:26:55,3:26:55
43045,00255,1:11:30,0:56:05,0:31:26,0:26:21,3:26:55,3:26:55
41168,00256,1:09:27,0:55:10,0:31:13,0:27:31,3:26:57,3:26:57
40091,00257,1:11:04,0:56:42,0:31:38,0:26:49,3:26:59,3:26:59
40189,00258,1:07:57,0:55:57,0:31:41,0:27:43,3:27:02,3:27:02
40212,00259,1:10:51,0:56:05,0:31:45,0:27:19,3:27:04,3:27:04
43077,00260,1:10:23,0:56:06,0:31:37,0:27:07,3:27:19,3:27:19
40852,00261,1:10:47,0:56:41,0:31:37,0:27:17,3:27:20,3:27:20
40120,00262,1:07:09,0:56:31,0:31:40,0:28:22,3:27:33,3:27:33
40147,00263,1:10:07,0:56:08,0:31:24,0:27:39,3:27:35,3:27:35
41107,00264,1:09:51,0:56:23,0:31:26,0:27:36,3:27:35,3:27:35
40491,00265,1:05:49,0:54:19,0:32:27,0:29:32,3:27:39,3:27:39
43072,00266,1:07:37,0:54:26,0:32:31,0:28:48,3:27:39,3:27:39
40606,00267,1:10:12,0:55:29,0:31:13,0:27:34,3:27:42,3:27:42
40101,00268,1:09:25,0:56:58,0:31:36,0:27:46,3:27:43,3:27:43
40343,00269,1:11:06,0:55:36,0:31:03,0:27:12,3:27:43,3:27:43
40330,00270,1:10:15,0:56:07,0:31:26,0:26:59,3:27:44,3:27:44
40077,00271,1:12:11,0:56:02,0:31:09,0:26:36,3:27:44,3:27:44
40539,00272,1:12:11,0:56:03,0:31:09,0:26:36,3:27:46,3:27:46
40287,00273,1:08:52,0:55:56,0:32:08,0:28:18,3:27:49,3:27:49
40351,00274,1:10:15,0:56:08,0:31:57,0:27:21,3:27:59,3:27:59
40333,00275,1:10:16,0:56:07,0:31:57,0:27:22,3:27:59,3:27:59
40088,00276,1:00:10,0:49:34,0:32:48,0:31:17,3:28:00,3:28:00
40464,00277,1:07:01,0:53:43,0:32:40,0:32:17,3:28:04,3:28:04
41166,00278,1:10:12,0:55:54,0:32:01,0:27:14,3:28:05,3:28:05
40231,00279,1:10:52,0:56:26,0:31:25,0:27:18,3:28:05,3:28:05
40608,00280,1:10:55,0:56:18,0:31:42,0:27:19,3:28:06,3:28:06
43084,00281,1:10:55,0:56:18,0:31:42,0:27:20,3:28:06,3:28:06
40136,00282,1:10:52,0:56:16,0:31:38,0:27:19,3:28:17,3:28:17
43066,00283,1:11:29,0:56:53,0:31:21,0:26:44,3:28:18,3:28:18
40624,00284,1:10:37,0:55:58,0:31:56,0:27:36,3:28:19,3:28:19
40293,00285,1:06:37,0:54:58,0:32:09,0:29:35,3:28:29,3:28:29
40419,00286,1:11:09,0:55:52,0:31:22,0:27:10,3:28:29,3:28:29
40095,00287,1:10:54,0:56:19,0:31:42,0:27:18,3:28:30,3:28:30
40549,00288,1:10:55,0:56:18,0:31:43,0:27:19,3:28:31,3:28:31
40583,00289,1:09:19,0:56:46,0:31:36,0:27:30,3:28:36,3:28:36
40211,00290,1:11:34,0:55:58,0:31:25,0:26:24,3:28:36,3:28:36
41132,00291,1:07:36,0:54:22,0:31:19,0:28:57,3:28:39,3:28:39
43097,00292,1:07:38,0:53:55,0:30:20,0:32:02,3:28:47,3:28:47
40291,00293,1:08:36,0:54:53,0:30:07,0:28:19,3:28:47,3:28:47
43074,00294,1:09:39,0:56:47,0:31:37,0:27:29,3:28:50,3:28:50
40261,00295,1:05:21,0:51:36,0:29:23,0:31:01,3:28:57,3:28:57
40578,00296,1:10:12,0:57:00,0:31:07,0:27:39,3:29:13,3:29:13
40194,00297,1:08:09,0:55:35,0:32:10,0:30:38,3:29:15,3:29:15
40182,00298,1:08:36,0:55:25,0:30:44,0:27:44,3:29:16,3:29:16
40224,00299,1:09:04,0:55:19,0:32:22,0:28:28,3:29:18,3:29:18
43142,00300,1:08:55,0:55:00,0:30:39,0:27:41,3:29:26,3:29:26
40250,00301,1:08:56,0:54:58,0:30:40,0:27:41,3:29:27,3:29:27
40071,00302,1:01:24,0:53:51,0:32:01,0:34:07,3:29:34,3:29:34
40191,00303,1:10:26,0:56:11,0:32:13,0:28:21,3:29:41,3:29:41
40587,00304,1:11:34,0:56:47,0:32:04,0:27:20,3:29:43,3:29:43
40499,00305,1:07:59,0:53:52,0:31:33,0:29:30,3:29:53,3:29:53
40290,00306,1:11:00,0:56:47,0:31:50,0:28:00,3:29:58,3:29:58
40070,00307,1:12:56,0:56:40,0:31:04,0:27:01,3:30:19,3:30:19
40817,00308,1:10:36,0:54:27,0:32:16,0:29:22,3:30:27,3:30:27
40610,00309,1:10:31,0:55:33,0:31:39,0:28:12,3:30:28,3:30:28
40910,00310,1:11:05,0:56:10,0:32:04,0:27:51,3:30:28,3:30:28
40083,00311,1:12:14,0:57:09,0:32:10,0:27:31,3:30:48,3:30:48
43076,00312,1:12:15,0:57:09,0:32:10,0:27:31,3:30:49,3:30:49
40367,00313,1:13:40,0:58:10,0:30:38,0:26:46,3:30:50,3:30:50
40377,00314,1:11:22,0:57:41,0:32:08,0:27:36,3:30:58,3:30:58
40204,00315,1:11:06,0:56:55,0:32:34,0:27:56,3:31:00,3:31:00
40529,00316,1:10:50,0:57:41,0:32:25,0:28:16,3:31:08,3:31:08
40863,00317,1:04:31,0:51:18,0:35:43,0:34:41,3:31:09,3:31:09
40130,00318,1:09:40,0:56:02,0:32:03,0:28:57,3:31:09,3:31:09
43174,00319,1:12:44,0:56:17,0:32:21,0:27:57,3:31:15,3:31:15
40127,00320,1:11:20,0:56:05,0:31:55,0:28:12,3:31:19,3:31:19
43046,00321,1:08:30,0:57:09,0:33:32,0:29:18,3:31:20,3:31:20
40497,00322,1:09:12,0:55:56,0:32:40,0:29:11,3:31:36,3:31:36
40450,00323,1:10:22,0:56:47,0:31:28,0:28:44,3:31:51,3:31:51
41079,00324,1:17:12,1:00:46,0:30:29,0:23:58,3:31:53,3:31:53
40313,00325,1:09:42,0:55:49,0:32:12,0:29:11,3:31:58,3:31:58
40296,00326,1:10:18,0:56:12,0:32:09,0:28:44,3:32:18,3:32:18
40381,00327,1:10:21,0:56:11,0:32:10,0:28:44,3:32:18,3:32:18
